row_tag,area_px,centroid_x,centroid_y,window_x,window_y,window_size
a,482342,12784.983642311887,17244.170416426517,11860,16319,1850
b,130328,15165.381222761034,23112.941769995705,14534,22482,1262
c,98078,16530.916005628173,28161.10670078917,16031,27661,1000
