period,CDG,CSG,DLG,JG,WG,XYG,XYK,ZLG,Others
2019-2023,4.4599619189311674,3.0599407354129307,4.2617051254261336,10.832382948745739,1.6108095059806489,6.003710810491261,5.328209056693006,17.720751965633436,46.72252793268568
2020-2024,10.820383091416467,5.201090561371278,14.769378632501882,12.745813969870765,4.216753606085271,6.750795288183423,6.603001763897229,16.160269836520413,22.732513250153268
2022-2023,2.7795672851064803,2.5983535688966124,3.0530344803368794,12.142742577630822,2.0397504728696667,2.6768504080487974,3.1149132605656598,4.126935016841089,67.467852929704
2022-2024,4.511700078476136,3.7928230006420773,6.114147107084255,9.185845758721552,1.5574302632517658,6.712670328886353,6.221481058714418,9.985303559962903,51.91859884426053
2022-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
