Region,Pattern,TP (ha),FP (ha),FN (ha),Precision (%),Recall (%),F1 (%),Commission error (%),Omission error (%),Dominant characteristic
Region I,large irregular patch,3372.92,401.73,72.33,89.35715894188864,97.90058776576446,93.43398108007037,10.642841058111348,2.0994122342355417,FP-dominant
Region II,linear tidal-flat edge,250.21,16.26,26.37,93.89799977483393,90.46568804685805,92.14989411656386,6.10200022516606,9.534311953141948,FN-dominant
Region III,fragmented tidal-channel landscape,1604.03,212.58,142.3,88.2979836068281,91.85148282397944,90.03968632646074,11.702016393171897,8.148517176020569,FP-dominant
