experiment,n,validation_f1_mean_sd,test_f1_mean_sd,test_iou_mean_sd,test_precision_mean_sd,test_recall_mean_sd,test_oa_mean_sd
FCSiamDiff,5,0.7991 +/- 0.0141,0.9111 +/- 0.0216,0.8373 +/- 0.0366,0.9107 +/- 0.0331,0.9118 +/- 0.0140,0.9764 +/- 0.0059
SNUNet,5,0.7771 +/- 0.0097,0.9226 +/- 0.0163,0.8566 +/- 0.0281,0.9067 +/- 0.0455,0.9418 +/- 0.0379,0.9791 +/- 0.0050
ChangeFormer,5,0.7086 +/- 0.0102,0.8518 +/- 0.0092,0.7419 +/- 0.0138,0.8941 +/- 0.0397,0.8165 +/- 0.0474,0.9626 +/- 0.0014
BiT,5,0.8093 +/- 0.0068,0.8864 +/- 0.0571,0.7995 +/- 0.0868,0.8510 +/- 0.0951,0.9297 +/- 0.0133,0.9676 +/- 0.0192
BiT_GWDA,5,0.8145 +/- 0.0030,0.8721 +/- 0.0524,0.7761 +/- 0.0812,0.8144 +/- 0.0923,0.9444 +/- 0.0070,0.9625 +/- 0.0179
OEP_BiT,5,0.8120 +/- 0.0064,0.9090 +/- 0.0233,0.8339 +/- 0.0381,0.8774 +/- 0.0422,0.9441 +/- 0.0078,0.9749 +/- 0.0072
COAST,5,0.8142 +/- 0.0066,0.9104 +/- 0.0135,0.8358 +/- 0.0224,0.8913 +/- 0.0262,0.9309 +/- 0.0155,0.9758 +/- 0.0039
