best_val_f1,epochs_completed,experiment,seed,test_f1,test_iou,test_oa,test_precision,test_recall
0.803299,38,FCSiamDiff,42,0.887131467937426,0.7971575547662769,0.9701703568579237,0.886240046531963,0.8880247846159414
0.816933,45,FCSiamDiff,1337,0.8955738371244745,0.8108952483627986,0.9719537009655381,0.8806395518100102,0.9110234887308611
0.794159,39,FCSiamDiff,2025,0.9053716564207844,0.8271042432527165,0.9746699803311851,0.8931652499547117,0.9179164251803954
0.802608,45,FCSiamDiff,3407,0.9328020849468259,0.8740667175881033,0.9825314803862025,0.9476181677695187,0.9184422679940939
0.778606,57,FCSiamDiff,9001,0.9344937243581694,0.8770420593107892,0.9829056430870168,0.9455932426552468,0.9236518562412619
0.776125,48,SNUNet,42,0.909002286544991,0.833184494326745,0.9757524947045345,0.9007472646913995,0.9174101183226238
0.77664,36,SNUNet,1337,0.9034438210111075,0.8238920439429793,0.9722560828840021,0.835641703978676,0.9832202418549743
0.791577,51,SNUNet,2025,0.9435265631591869,0.8930907534372498,0.9845411273794904,0.9111837965130855,0.9782499690679105
0.776827,36,SNUNet,3407,0.9300693184482097,0.8692800645386946,0.9814738958654059,0.9269194636188534,0.9332407546087057
0.764326,53,SNUNet,9001,0.9269000206516107,0.8637593249203175,0.9813290448255731,0.9592122838576777,0.8966938650584945
0.69585,62,ChangeFormer,42,0.8561390462493615,0.7484643396017253,0.9642084685849265,0.9119589101092556,0.806758463952774
0.718229,83,ChangeFormer,1337,0.8553463872112312,0.7472535490340035,0.9620318345620392,0.8604089176463745,0.8503431816256438
0.71892,39,ChangeFormer,2025,0.8602932292835377,0.7548374187932436,0.9623441024565155,0.8430453609953817,0.878261690641483
0.708547,65,ChangeFormer,3407,0.8366230288776969,0.7191332945221524,0.9607034602635137,0.927188359643571,0.762175784531306
0.701426,88,ChangeFormer,9001,0.85047501276831,0.7398491625682658,0.9635639459314275,0.927938660389853,0.7849481971567395
0.806556,66,BiT,42,0.9061748497364213,0.82844588180482,0.9749878359512335,0.8975490798867249,0.9149681238317636
0.820544,68,BiT,1337,0.919834173913401,0.8515676429110426,0.9785328180017396,0.907084268542323,0.9329477152698025
0.80801,37,BiT,2025,0.7853731864450593,0.6465963522738889,0.9336421053174316,0.6852836890185747,0.9197007091550504
0.809018,60,BiT,3407,0.9203830296131988,0.8525089429585403,0.9787157085579676,0.909117041229585,0.9319318455616047
0.802378,47,BiT,9001,0.9002396897773414,0.8185781684404478,0.9722322275940593,0.8561792208286854,0.949081158872751
0.814028,59,BiT_GWDA,42,0.9130328819443685,0.8399821473108162,0.9764219472105865,0.889752186138354,0.9375647128538551
0.818825,56,BiT_GWDA,1337,0.8022339393357589,0.669775214889014,0.9377871231293813,0.6911552469810769,0.9558536235940696
