experiment,seed,best_val_f1,epochs_completed,gamma1,gamma2,max_abs_gamma,val_prior_mse,val_prior_pearson_r,test_precision,test_recall,test_f1,test_iou,test_oa,test_prior_mse,test_prior_pearson_r
OEP_BiT_SPGopt,42,0.797188,34,0.004310398828238249,0.003539426950737834,0.004310398828238249,0.16700434583728596,0.005919146734119143,0.8347925429105738,0.9302664053188382,0.879947284323891,0.785630319920369,0.9664910544811632,0.18166356523272018,0.011647650872427251
OEP_BiT_SPGopt,1337,0.819053,39,0.006795794703066349,0.006288312375545502,0.006795794703066349,0.16308191873259464,-0.1610691275252612,0.870149353693528,0.9518064247245509,0.9091479712829443,0.8334293184013591,0.9748876867159783,0.17915228722800672,-0.18481273226825995
OEP_BiT_SPGopt,2025,0.81596,56,0.010225622914731503,0.009313469752669334,0.010225622914731503,0.19351042731333587,-0.5153378887639309,0.9108747075897362,0.9052278218058867,0.9080424356457553,0.831573091176531,0.975796551771546,0.22106063198035872,-0.6432263088952043
OEP_BiT_SPGopt,3407,0.810671,62,0.008048680610954762,0.007256424054503441,0.008048680610954762,0.1599571219945358,-0.12952467878500926,0.901908858632516,0.9298154503361926,0.9156495239627723,0.8444222014904816,0.977385185134222,0.15443942916225378,-0.059117509973024986
OEP_BiT_SPGopt,9001,0.805709,60,0.008382564410567284,0.00945979356765747,0.00945979356765747,0.11027731733807063,0.6448671492898598,0.8664181871799671,0.9661620963381534,0.9135756549180832,0.8409013944010223,0.9758687623789404,0.11496373297463,0.7721349047404173
COAST_SPGopt,42,0.81253,77,0.007174646016210318,0.007564057596027851,0.007564057596027851,0.0697407995240163,0.5922822536904883,0.9226719524926712,0.9207312308301934,0.9217005200725603,0.8547723800008079,0.9793490557603224,0.04018473562220452,0.7061120208393877
COAST_SPGopt,1337,0.818578,39,0.006718900986015797,0.006349231116473675,0.006718900986015797,0.1230895160618475,0.34016889983198506,0.8520448086381345,0.953712808423749,0.9000166962280277,0.8182094980570886,0.9720274159605866,0.08442513959508546,0.49004697618677895
COAST_SPGopt,2025,0.813442,60,0.009897545911371708,0.00763083528727293,0.009897545911371708,0.066168669169232,0.6308214121505406,0.8643643193163066,0.9380612517336634,0.8997060886948401,0.8176962266024072,0.9723914777728665,0.04066898873154546,0.6988823040991317
COAST_SPGopt,3407,0.810548,45,0.006313038524240255,0.006486836355179548,0.006486836355179548,0.06429062632180876,0.6528327583409196,0.9023727878099415,0.9369265382935771,0.9193250433662773,0.8506953272352981,0.9782923308896138,0.04285763319529278,0.6914841419037603
COAST_SPGopt,9001,0.812615,58,0.007466194219887257,0.00725439703091979,0.007466194219887257,0.057602066736100084,0.6670932279213114,0.9117998637944613,0.9350738784731779,0.9232901733913321,0.8575107642143083,0.9794885339871049,0.03610270302480375,0.7258274651616762
