experiment,seed,best_val_f1,epochs_completed,gamma1,gamma2,max_abs_gamma,test_prior_mse,test_prior_pearson_r,test_precision,test_recall,test_f1,test_iou,test_oa
COAST_zero_SPGopt,42,0.808558,59,0.0064582363702356815,0.006589080207049847,0.006589080207049847,0.012042596936225891,,0.8852618579778802,0.9476371261304892,0.9153880977306392,0.8439776365237954,0.9768736933318453
COAST_zero_SPGopt,1337,0.814316,39,0.006780450697988272,0.006332306656986475,0.006780450697988272,0.06968071888869917,,0.8631298524486348,0.9547091421760199,0.9066126517516635,0.8291780076210041,0.9740357734787424
COAST_zero_SPGopt,2025,0.815069,45,0.008976207114756107,0.007983604446053505,0.008976207114756107,0.02408739210854114,,0.8422012571142152,0.9231455493834902,0.8808176334390951,0.7870189425061642,0.9670212436729546
COAST_zero_SPGopt,3407,0.811334,45,0.006488376762717962,0.006413268856704235,0.006488376762717962,0.03144914856259252,,0.9009928148666893,0.9358032208277814,0.918068109693786,0.8485452830382396,0.9779504050671005
COAST_zero_SPGopt,9001,0.814307,61,0.007590706460177898,0.007984074763953686,0.007984074763953686,0.009374052443554704,,0.8839501141052127,0.9250714690386153,0.904043371322208,0.8248898166803864,0.9740761770328796
COAST_constant_SPGopt,42,0.807644,66,0.006256114691495895,0.006479611154645681,0.006479611154645681,1.9985513268104216e-05,,0.8695169976309394,0.9292016957208232,0.898369074302257,0.8154901464916117,0.9722464118205117
COAST_constant_SPGopt,1337,0.820294,39,0.006679902784526348,0.006325571797788143,0.006679902784526348,8.765971747187661e-05,,0.8759168123359427,0.9454751470079145,0.9093677252643418,0.8337987403142705,0.9751210817148779
COAST_constant_SPGopt,2025,0.823862,56,0.01007002405822277,0.00891764648258686,0.01007002405822277,0.00017893741654992942,,0.882945180475591,0.8898937243996129,0.8864057852217913,0.7959864223939055,0.9698907556667926
COAST_constant_SPGopt,3407,0.814376,45,0.006590286735445261,0.007054069545120001,0.007054069545120001,0.00012411002945286078,,0.8751053729090458,0.9312073871959828,0.90228509781015,0.8219667848370753,0.9733742727360046
COAST_constant_SPGopt,9001,0.808783,59,0.007672123610973358,0.007610563188791275,0.007672123610973358,5.7587953871378385e-05,,0.9168691593271614,0.9324853643128663,0.924611279127866,0.8597927002257841,0.9799263107944333
COAST_random_per_epoch_SPGopt,42,0.800265,59,0.006509593687951565,0.006511344574391842,0.006511344574391842,0.08332703315036398,-5.7797259103075206e-05,0.8920831640253266,0.9435703913050436,0.9171046593803412,0.846900635040191,0.9774823255941693
COAST_random_per_epoch_SPGopt,1337,0.815695,55,0.008002289570868015,0.007923462428152561,0.008002289570868015,0.08342224023711513,6.672535378452794e-05,0.8898349772612306,0.9505333315966492,0.9191831390240554,0.8504523426995413,0.977934931365516
COAST_random_per_epoch_SPGopt,2025,0.817469,45,0.008985064923763275,0.00804219301789999,0.008985064923763275,0.08364282779290642,-0.00022117313243415562,0.8321556818564142,0.9231797373063624,0.8753076040307272,0.7782640798870235,0.9652780882069556
COAST_random_per_epoch_SPGopt,3407,0.811282,45,0.006845671683549881,0.007125548552721739,0.007125548552721739,0.08345236240977973,-0.0008262788596025908,0.9006065653627763,0.9330356270714735,0.9165342825316352,0.8459283575126832,0.977566571302796
COAST_random_per_epoch_SPGopt,9001,0.81065,61,0.007171038072556257,0.007921356707811356,0.007921356707811356,0.0833827408266739,-0.00011706723601795415,0.8979145638757206,0.915310003060484,0.9065287906080037,0.8290377234126353,0.9750826123734386
